Norwegian,English
jeg,I
det,the
er,is
du,you
ikke,not
en,one
og,and
i,in
har,hair
vi,we
på,on
å,to
til,to
deg,you
med,with
meg,me
han,he
for,before
hva,what
som,seam
at,that
så,so
kan,can
de,the
den,it
var,our
vil,will
om,about
av,of
men,but
skal,toast
et,a
ja,yes
her,here
hun,she
bare,only
dette,this
dere,you
må,must
noe,something
nei,no
vet,know
nå,now
ham,him
min,my
ut,out
kom,come
da,then
din,your
oss,us
ha,have
gjør,do
hvor,where
fra,from
være,be
noen,some
der,there
dem,them
igjen,again
se,see
ta,toe
ville,would
kommer,is coming
alle,all
går,goes
alt,all
tror,believe
hvorfor,why
hvordan,how
få,few
gjøre,do
hvis,if
opp,up
seg,themselves
ingen,no
hadde,had
sa,so
bra,abrupt
henne,her
får,sheep
når,when
blir,becomes
takk,thanks
gå,go
eller,or
bli,become
si,say
ser,looking
hvem,whose
la,let
hei,hi
litt,a little
inn,in
etter,after
ble,became
denne,this
kanskje,maybe
tilbake,back
aldri,never
vel,well
ok,okay
skulle,was supposed to
jo,yes
trenger,need
to,two
sier,says
kunne,could
vært,been
mer,more
også,also
før,before
over,over
man,Mon
tar,takes
mye,much
